Scheme Name,Sector,Primary Purpose,Key Benefits,Target Beneficiaries,Announced Year
Atal Pension Yojana Expansion,Social Security,Encourages financial independence social security workers unorganized sector,Securing guaranteed pension after retirement,Workers unorganized sector,2025
GeM Portal Enhancement,Commerce,Transforming how government buys goods services online,"Transparent, efficient facilitating orders worth lakhs crores public procurement",Government agencies,2025
KUSUM Scheme Expansion,Energy,Farmers are embracing renewable energy irrigation power needs,Promoting energy efficiency environmental sustainability agriculture,Farmers,2025
Mission Indradhanush Enhancement,Healthcare,Brought vital vaccines doorstep crores children across India,Strengthening India's fight against preventable illnesses,Children,2025
CSC Expansion,Governance Administration,Bringing governance your doorstep,"Making digital access easy, affordable, inclusive every citizen",All citizens,2025
PLI Electronics Manufacturing Expansion,Industries,Driven substantial production growth,Fueling India vision self-reliance (Aatmanirbhar Bharat),Electronics manufacturers,2025
Fasal Bima Yojana PMFBY Enhancement,Agriculture,Provides affordable crop insurance,Helping secure their livelihoods promote sustainable agriculture,Farmers,2025
Pradhan Mantri Ujjwala Yojana Expansion,Energy,Transformed lives bringing clean LPG connections millions households across rural India,"Making step towards better health, women's dignity, cleaner environment",Rural households,2025
AMRIT SAROVAR Mission Enhancement,Water Resources,Reviving tradition water conservation with reservoirs built nationwide,Reflecting India commitment Shakti sustainable rural development,Rural communities,2025
Digilocker Enhancement,Governance Administration,"Enabled citizens securely store access official documents anytime, anywhere","Ensuring convenience, authenticity, eco-friendly access government services",All citizens,2025
UDAN Scheme Expansion,Transport,Making air travel accessible all,Boosting regional connectivity across India,All citizens,2025
Surya Ghar: Muft Bijli Yojana Enhancement,Energy,Lighting up rural India through solar energy,Supporting sustainable living affordable energy access across villages,Rural households,2025
Svamitva Scheme Expansion,Rural Development,Transforming rural India issuing property cards that establish land ownership,Helping reduce property disputes empowering villagers with clear land records,Rural residents,2025
Direct Benefit Transfer (DBT) Enhancement,Governance Administration,Transformed way subsidies benefits reach people,"Ensuring transparency, faster delivery, no middlemen government welfare schemes",All citizens,2025
