Disease Name,Pathogen Type,Primary Symptoms,Treatment Methods
Root-Knot Nematodes,Nematode,"Stunted plants, discolored leaves, knots and galls on roots.","Crop rotation, disease-free plants, pull up roots after harvest, resistant cultivars, marigolds."
Gray Leaf Spot,Fungal,"Small, dark spots with yellow halos on leaves. Spots enlarge and turn grayish-brown. Centers of spots may crack and fall out.",Remove affected plants and debris. Select resistant varieties. Rotate crops.
Damping-off,Fungal,Seedlings fail to emerge or wilt and die soon after emergence. Water-soaked areas on stem near soil line.,"Start seeds indoors with sterilized potting mix, avoid over-watering, allow soil to dry between waterings."
Blossom End Rot,Physiological Disorder (Calcium Deficiency),"Dark, leathery, sunken areas on the blossom end of the tomato, most prevalent on enlarging fruit.",Keep plants well-watered and mulched. Check soil pH and amend accordingly. Avoid excessive nitrogen fertilizers.
Buckeye Rot,Fungal,"Brownish spots on fruit, often where the fruit contacts the soil. Dark, concentric rings may be seen in the spots.","Avoid compacted and poorly drained soils. Rotation, sanitation, staking, and mulching. Fungicide sprays with chlorothalonil, mancozeb, or copper fungicides."
Gray Wall,Physiological Disorder,"Green fruits have a gray cast and flattened, gray blotches. Ripe fruit has a mottled appearance with green and brown areas inside.","Ensure good growing conditions, evenly water and regularly fertilize plants. Keep soil from becoming compacted."
Sunscald,Environmental,"Pale-colored, sunken, blistered areas on tomato fruits exposed to full sun.",Cover exposed fruits. Control leaf diseases so foliage shades fruit.
Spider Mites,Arachnid (Pest),Tiny yellow-white spots (stippling). Spots coalesce causing yellow blotching. Dirty looking undersides of leaves.,Insecticide sprays (including soaps and oils) may be used. Make sure plants are not stressed.
Aphids,Insect (Pest),"Leaf curling, distortion, yellowing. Sticky honeydew.",Naturally occurring predators such as ladybird beetles control them.
Herbicide Damage,Chemical,"Leaves curled, twisted, strappy, distorted, stay small size.",Avoid herbicide drift. Use caution when spraying.
Flea Beetles,Insect (Pest),Tiny round holes (shot holes) in leaves.,Row cover fabric insect mesh over plants from time planting until flowering.
Tobacco/Tomato Hornworm,Insect (Pest),Leaves chewed and stripped off branches.,Remove caterpillars by hand and discard.
Stink Bug Feeding Damage,Insect (Pest),"Superficial spots and blotches, white on young fruit, yellow on mature fruit.",Cloudy spots on fruit can be cut out.
Catfacing,Environmental,"Tomatoes misshapen, often with deep crevices, holes and scarring on the blossom end.",Avoid cool temperatures during fruit set.
Growth Cracks,Environmental,Cracks radiating outward and concentric rings around the top of the fruit.,Maintain even soil moisture with regular watering and adequate mulch.
Edema,Environmental,"Tiny, dark brown circular spots that develop yellow rings (halos) on leaves",Reduce excessive moisture.
Cold Injury,Environmental,Light tan gray blotches on leaves.,Affected leaves out-grow injury if plants healthy not stressed further low temperatures.
Low Phosphorus,Nutrient Deficiency,Leaf undersides stems appear purple color.,Plants recover when roots fully established garden.
Zippering,Environmental,"Dry, brown scars resembling zippers extend from stem blossom end fruits.",Superficial condition that does not affect yields eating quality.
