Scheme Name,Sector,Primary Purpose,Key Benefits,Target Beneficiaries,Year Launched
Annadata Aay Sanrakshan Abhiyan AASHA,Agriculture,Farmer welfare through creating profitable ecosystem for selected products.,Profitable ecosystem for farmers.,Farmers,2018
Ayushman Bharat Yojana,Health,Provide free access to healthcare to 50 crore people in the country.,Free access to healthcare.,People in India,2018
Samagra Shiksha,Education,Improve overall effectiveness of schools from pre-nursery class.,Improved quality of education.,Students,2018
Vikas Karyakaram,Development,Development of minority concentration areas.,Development of minority areas.,Minorities,2018
Rashtriya Gram Swaraj Abhiyan,Rural Development,Strengthen Panchayati Raj institutions.,Strengthened Panchayati Raj institutions.,Panchayati Raj Institutions,2018
World Class Institutions Scheme,Education,Enable private and public institutions to attain world class academic and research facilities.,World class academic and research facilities.,Educational Institutions,2017
Khelo India National Programme Development Sports,Sports,"Sporting infrastructure, sponsorship, excellence.",Improved sporting infrastructure.,Athletes and General Public,2017
Saubhagya Yojana,Electricity,Last-mile electrification of all households in India.,Access to electricity.,Households in India,2017
Krishonnati Yojana,Agriculture,Umbrella scheme subsuming schemes.,Various benefits under subsumed schemes.,Farmers,2017
Matritva Vandana Yojana,Mother Care,Cash incentive to pregnant and lactating women.,Cash incentive.,Pregnant and Lactating Women,2017
Digital Payment Infrastructure,Financial Inclusion,Encourages digital transactions.,Improved financial inclusion.,Citizens,2016
Ujjwala Yojana,"Energy, Health, Poverty",Provide free LPG connections to women from below poverty line families.,Access to clean cooking fuel.,Women from BPL families,2016
UDAN,Aviation,Promotes affordable air travel connecting unserved and underserved airports.,Affordable air travel.,Air Travelers,2016
Fasal Bima Yojana,Agriculture,Insurance scheme for farmers.,Insurance coverage for crops.,Farmers,2016
Stand-Up India,Entrepreneurship,"Loans to scheduled castes, scheduled tribes and women entrepreneurs.",Access to loans.,SC/ST/Women Entrepreneurs,2016
National Hydrology Project,Water,Improve hydrology related practices.,Improved water resource management.,Water Resource Managers,2016
Start-Up India,Entrepreneurship,Promote entrepreneurship.,Support for startups.,Entrepreneurs,2016
Krishi Sinchai Yojana,Agriculture,Improving agricultural productivity through irrigation support.,Improved agricultural productivity.,Farmers,2015
Mudra Yojana,Financing,Funding small businesses.,Access to finance for small businesses.,Small Businesses,2015
Smart Cities Mission,Urban Redevelopment,Retrofitting and greenfield development of 100 cities.,Urban redevelopment.,Urban Residents,2015
Digital India,Technology,Ensure that government services are available electronically to citizens.,Electronic access to government services.,Citizens,2015
Faster Adoption Manufacturing Electric Hybrid) Vehicles India Scheme,"Transport, Fuel security",Promote electric and hybrid vehicles.,Fuel security and reduced emissions,Automobile manufacturers and consumers,2015
Gramin Awas Yojana,"Housing, Rural",Provides financial assistance to rural poor for constructing their houses.,Financial assistance for housing.,Rural Poor,2016
Awaas Yojana (Urban),"Housing, Urban",Enable better living and drive economic growth.,Slum Free India.,Urban Residents,2015
Atal Pension Yojana,Pension,Pension program for people to make voluntary contributions.,Pension in the future.,Citizens,2015
Suraksha Bima Yojana,Insurance,Accident insurance scheme.,Accident insurance.,Individuals,2015
Jeevan Jyoti Bima Yojana,Insurance,Life insurance scheme.,Life insurance.,Individuals,2015
Unnat Jyoti Affordable LEDs All (UJALA),Electrification,Reduces cost of energy-saving compact fluorescent lamps.,Energy savings and reduced emissions.,Citizens,2015
