Scheme Name,Sector,Primary Purpose,Key Benefits,Target Beneficiaries,Year Announced
National Education Technology Forum (NETF) Implementation,Education,Promote the use of technology in education,Improved learning outcomes,Students and teachers,2025
Rural Road Connectivity Improvement,Infrastructure,Improve road connectivity in rural areas,Enhanced access to markets and services,Rural communities,2025
River Pollution Control Program,Environment,Reduce pollution in major rivers,Improved water quality and ecosystem health,Communities living near rivers,2025
Affordable Housing in Metro Cities,Housing,Provide affordable housing options in metro cities,Improved living conditions and home ownership,Low and middle-income urban residents,2025
Integrated Digital Health Platform,Healthcare,Create a unified digital health platform,Improved healthcare data management and access,Healthcare providers and patients,2025
Pulses Production Enhancement Scheme,Agriculture,Increase pulses production,Improved food security and farmer incomes,Farmers,2025
Coastal Infrastructure Development,Infrastructure,Develop infrastructure in coastal areas,Improved connectivity and economic activity,Coastal communities,2025
Electric Vehicle Charging Infrastructure Expansion,Energy & Transportation,Expand the electric vehicle charging infrastructure,Increased adoption of electric vehicles,Electric vehicle owners,2025
MSME Technology Upgradation Fund,Industry,Provide financial assistance for technology upgradation in MSMEs,Improved competitiveness and productivity,MSME owners,2025
Sustainable Tourism Promotion Initiative,Tourism,Promote sustainable tourism practices,Environmentally responsible tourism and economic benefits,Tourism operators and local communities,2025
Athlete Development and Training Program,Sports,Support the training and development of athletes,Improved sports performance,Athletes,2025
National Space Technology Mission,Science & Technology,Develop advanced space technologies,Technological advancement and national security,Scientists and researchers,2025
Cultural Heritage Preservation Fund,Art & Culture,Provide funding for the preservation of cultural heritage sites,Preservation of cultural heritage,Historians and local communities,2025
Digital Infrastructure Security Initiative,IT & Communications,Strengthen the security of digital infrastructure,Reduced cyber threats and data protection,Businesses and government agencies,2025
Organic Farming Promotion Program,Agriculture,Promote organic farming practices,Improved soil health and reduced chemical use,Farmers,2025
Rural Telemedicine Network Expansion,Healthcare,Expand the reach of telemedicine services in rural areas,Improved healthcare access for rural populations,Rural residents and healthcare providers,2025
